Time,Mesh_Current
56:45.7,1524
56:46.7,1526
56:47.7,1526
56:48.7,1525
56:49.7,1525
56:50.7,1525
56:51.7,1525
56:52.7,1525
56:53.7,1526
56:54.7,1525
56:55.7,1527
56:56.7,1527
56:57.7,1528
56:58.7,1528
56:59.7,1529
57:00.7,1528
57:01.7,1527
57:02.7,1526
57:03.7,1527
57:04.7,1528
57:05.7,1527
57:06.7,1528
57:07.7,1527
57:08.7,1528
57:09.7,1526
57:10.7,1527
57:11.7,1528
57:12.7,1528
57:13.7,1528
57:14.7,1527
57:15.7,1528
57:16.7,1527
57:17.7,1527
57:18.7,1528
57:19.7,1526
57:20.7,1527
57:21.7,1526
57:22.7,1526
57:23.7,1527
57:24.7,1526
57:25.7,1525
57:26.7,1527
57:27.7,1526
57:28.7,1526
57:29.7,1525
57:30.7,1525
57:31.7,1526
57:32.7,1527
57:33.7,1527
57:34.7,1527
57:35.7,1527
57:36.7,1527
57:37.7,1527
57:38.7,1525
57:39.7,1527
57:40.7,1526
57:41.7,1527
57:42.7,1530
57:43.7,1531
57:44.7,1531
57:45.7,1529
57:46.7,1530
57:47.7,1531
57:48.7,1531
57:49.7,1531
57:50.7,1532
57:51.7,1532
57:52.7,1531
57:53.7,1532
57:54.7,1529
57:55.7,1530
57:56.7,1530
57:57.7,1530
57:58.7,1529
57:59.7,1529
58:00.7,1528
58:01.7,1528
58:02.7,1529
58:03.7,1529
58:04.7,1528
58:05.7,1528
58:06.7,1529
58:07.7,1530
58:08.7,1528
58:09.7,1528
58:10.7,1527
58:11.7,1526
58:12.7,1526
58:13.7,1528
58:14.7,1527
58:15.7,1528
58:16.7,1527
58:17.7,1530
58:18.7,1528
58:19.7,1528
58:20.7,1529
58:21.7,1527
58:22.7,1528
58:23.7,1529
58:24.7,1528
58:25.7,1529
58:26.7,1530
58:27.7,1528
58:28.7,1529
58:29.7,1529
58:30.7,1528
58:31.7,1529
58:32.7,1528
58:33.7,1526
58:34.7,1527
58:35.7,1528
58:36.7,1528
58:37.7,1529
58:38.7,1527
58:39.7,1527
58:40.7,1527
58:41.7,1527
58:42.7,1527
58:43.7,1527
